CLASS HABITAT-TYPE-GROUP
NAME B3
HABITAT-TYPES 250:280:281:283:292
CLIMAX-SPECIES DF:PP
SERAL-SPECIES DF:PP:LP:CW:ES
END

CLASS ALL-VEG-TYPES
553
NS,NS,1,1,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:UPLAND-GRASSES/CLOSED-HERB/1:0,L-DF-GF:24:250:LATE-SERAL:11:268:WP:12:144:DF-PP-GF:19:267:CW:11:235:L:9:231:L-DF-LP:9:241:PP-DF:5:213:L-PP:2:197:DF-PP-LP:2:124:DF-PP:2:170:NS:167:43:L-LP-GF:13:269:DF-RRWP-GF:18:260:QA:12:235:RRWP:9:151:ES:18:220:L-GF:12:227:DF-GF:35:325:L-DF:11:234:PP:2:148:L-LP:8:229:DF-LP:4:279:L-PP-LP:12:169:PF:10:226:L-DF-PP:4:195:DF-RRWP:33:254:DF-WP:14:247:AGR:301:298:DF-WP-GF:17:256:EARLY-SERAL:11:276:GF:10:239:ES-LP:21:235:DF:1:131:LP:19:245
DF,LMU,3,4,LIGHT-SEVERITY-FIRE:DF/LTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LMU/3:0:LIGHT-WSBW:DF/LMU4/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/LMU/3:0:SUCCESSION:DF/LMU4/4:0,DF-LP:825:238:DF:710:300:LP:941:212:DF-GF:870:485:PP-DF:830:277
ES-LP,MEDIUM,1,4,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/3:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/MEDIUM2/4:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:ES-LP/MEDIUM2/4:0:SEVERE-LP-MPB:ES-LP/MEDIUM/3:0:LIGHT-LP-MPB:ES-LP/MEDIUM/3:0,ES-LP:315:280
DF,LMU,3,3,LIGHT-SEVERITY-FIRE:DF/LTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LMU/2:0:LIGHT-WSBW:DF/LMU4/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/LMU/2:0:SUCCESSION:DF/LMU4/3:0,DF-LP:825:238:DF:710:170:LP:941:212:DF-GF:870:485:PP-DF:830:277
DF,MMU,1,4,LIGHT-SEVERITY-FIRE:DF/MTS/2:0:SEVERE-WSBW:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/3:0:LIGHT-WSBW:DF/MMU2/4:0:MIXED-SEVERITY-FIRE:DF/MEDIUM/2:0:SUCCESSION:DF/MMU2/4:0,DF:455:280:DF-WP:453:432
ES,PTS,4,4,LIGHT-SEVERITY-FIRE:ES/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/MMU/4:0,ES:210:310
ES-LP,MEDIUM,1,3,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/3:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/MTS/3:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:ES-LP/MTS/3:0:SEVERE-LP-MPB:ES-LP/MTS/2:0:LIGHT-LP-MPB:ES-LP/MTS/2:0,ES-LP:315:150
DF,MMU,1,3,LIGHT-SEVERITY-FIRE:DF/MTS/2:0:SEVERE-WSBW:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/2:0:LIGHT-WSBW:DF/MMU2/3:0:MIXED-SEVERITY-FIRE:DF/MEDIUM/2:0:SUCCESSION:DF/MMU2/3:0,DF:455:150:PP-DF:373:264:DF-WP:468:221
ES-LP,MEDIUM,1,2,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/2:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/MTS/3:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:ES-LP/MTS/3:0:SEVERE-LP-MPB:ES-LP/MTS/2:0:LIGHT-LP-MPB:ES-LP/MTS/2:0,ES-LP:315:20
DF-LP,VLTS,1,4,LIGHT-SEVERITY-FIRE:DF-LP/VLTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/2:0:LIGHT-WSBW:DF/VLMU/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/MTS/2:0:SUCCESSION:DF/VLMU/4:0:SEVERE-LP-MPB:DF/VLMU/3:0:LIGHT-LP-MPB:DF/VLMU/3:0,DF-LP:850:280
DF,MMU,1,2,LIGHT-SEVERITY-FIRE:DF/MTS/2:0:SEVERE-WSBW:DF/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/2:0:LIGHT-WSBW:DF/MMU2/3:0:MIXED-SEVERITY-FIRE:DF/MEDIUM/2:0:SUCCESSION:DF/MMU2/3:0,DF-PP-GF:443:72:DF-LP:486:52:DF:455:20:DF-GF:464:86:PP-DF:367:89:DF-RRWP:469:87:DF-WP:461:76
DF-LP,VLTS,1,3,LIGHT-SEVERITY-FIRE:DF-LP/VLTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/2:0:LIGHT-WSBW:DF/VLMU/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/MTS/2:0:SUCCESSION:DF/VLMU/3:0:SEVERE-LP-MPB:DF/VLMU/2:0:LIGHT-LP-MPB:DF/VLMU/2:0,DF-LP:850:150
DF-LP,VLTS,1,2,LIGHT-SEVERITY-FIRE:DF-LP/VLTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/MMU/2:0:LIGHT-WSBW:DF/VLMU/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/MTS/2:0:SUCCESSION:DF/VLMU/3:0:SEVERE-LP-MPB:DF/VLMU/2:0:LIGHT-LP-MPB:DF/VLMU/2:0,DF-LP:850:20
ES-LP,POLE,3,4,LIGHT-SEVERITY-FIRE:ES-LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/3:0:SUCCESSION:ES-LP/POLE4/4:0,ES-LP:155:300
ND,ND,1,1,SUCCESSION:ND/ND/1:0,ND:0:0
ES-LP,MTS,3,4,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/2:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES-LP/MTS4/4:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/MTS4/4:0:SEVERE-LP-MPB:ES-LP/MTS/3:0:LIGHT-LP-MPB:ES-LP/MTS/3:0,ES-LP:400:300
ES-LP,POLE,3,2,LIGHT-SEVERITY-FIRE:ES-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/POLE4/2:0,ES-LP:155:40
ES-LP,MTS,3,3,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/2:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES-LP/MTS/4:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/MTS/4:0:SEVERE-LP-MPB:ES-LP/MTS/2:0:LIGHT-LP-MPB:ES-LP/MTS/2:0,ES-LP:400:170
LP,POLE,3,4,LIGHT-SEVERITY-FIRE:LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:LP/POLE4/4:0,LP:155:300
CW-MC,LARGE,2,4,LIGHT-SEVERITY-FIRE:PP-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:MIXED-SEVERITY-FIRE:PP-DF/SS/3:0:DF-BEETLE:PP/LARGE/2:0:SUCCESSION:PP-DF/LARGE/4:0,CW-MC:540:290
LP,POLE,3,3,LIGHT-SEVERITY-FIRE:LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MEDIUM/3:0,LP:155:170
PP,LMU,3,4,LIGHT-SEVERITY-FIRE:PP/LMU4/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU3/2:0:SUCCESSION:PP/LMU4/4:0,PP:710:300
CW-MC,LARGE,2,3,LIGHT-SEVERITY-FIRE:PP-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:MIXED-SEVERITY-FIRE:PP-DF/SS/3:0:DF-BEETLE:PP/LARGE/2:0:SUCCESSION:PP-DF/LARGE/4:0,CW-MC:540:160
PP,LMU,3,3,LIGHT-SEVERITY-FIRE:PP/LMU4/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU3/2:0:SUCCESSION:PP/LMU4/3:0,PP:710:170
CW-MC,LARGE,2,2,LIGHT-SEVERITY-FIRE:PP-DF/SS/2:0:STAND-REPLACING-FIRE:CW-MC/SS/2:0:MIXED-SEVERITY-FIRE:PP-DF/SS/2:0:DF-BEETLE:PP/LARGE/2:0:SUCCESSION:PP-DF/LARGE/3:0,CW-MC:540:30
PP,LMU,3,2,LIGHT-SEVERITY-FIRE:PP/LMU4/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU3/2:0:SUCCESSION:PP-DF/LMU/3:0,PP:710:40
ES-LP,PTS,2,4,LIGHT-SEVERITY-FIRE:ES-LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/3:0:SUCCESSION:ES-LP/PTS3/4:0,ES-LP:190:290
ES-LP,PTS,2,3,LIGHT-SEVERITY-FIRE:ES-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/PTS3/3:0,ES-LP:190:160
LP,MTS,3,3,LIGHT-SEVERITY-FIRE:LP/MTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MTS4/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/2:0,LP:400:170
PP-DF,LMU,5,4,LIGHT-SEVERITY-FIRE:PP-DF/LMU4/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU6/4:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/LMU6/4:0,PP-DF:730:320
PP-DF,LMU,5,3,LIGHT-SEVERITY-FIRE:PP-DF/LMU/2:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU6/3:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/LMU6/3:0,PP-DF:730:190
ES-LP,LARGE,1,4,LIGHT-SEVERITY-FIRE:ES-LP/LARGE/4:0:SEVERE-WSBW:ES-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/LMU/4:0:MIXED-SEVERITY-FIRE:LP/LARGE/3:0:SUCCESSION:ES-LP/LMU/4:0:SPRUCE-BEETLE:LP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LMU/3:0:LIGHT-LP-MPB:ES-LP/LMU/3:0,ES-LP:530:280
DF,VLTS,1,4,LIGHT-SEVERITY-FIRE:DF/VLTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/VLMU/3:0:LIGHT-WSBW:DF/VLMU/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/VLMU/3:0:SUCCESSION:DF/VLMU/4:0,DF:850:280
ES-LP,LARGE,1,3,LIGHT-SEVERITY-FIRE:ES-LP/LARGE/3:0:SEVERE-WSBW:ES-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/LMU/4:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:ES-LP/LMU/4:0:SPRUCE-BEETLE:LP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LMU/2:0:LIGHT-LP-MPB:ES-LP/LMU/2:0,ES-LP:530:150
DF,VLTS,1,3,LIGHT-SEVERITY-FIRE:DF/VLTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/VLMU/2:0:LIGHT-WSBW:DF/VLMU/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/VLMU/2:0:SUCCESSION:DF/VLMU/3:0,DF:850:150
ES-LP,LARGE,1,2,LIGHT-SEVERITY-FIRE:ES-LP/LARGE/2:0:SEVERE-WSBW:ES-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/LMU/3:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:ES-LP/LMU/3:0:SPRUCE-BEETLE:LP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LMU/2:0:LIGHT-LP-MPB:ES-LP/LMU/2:0,L-LP-DF-AF:601:33:ES-LP:530:20
DF,VLTS,1,2,LIGHT-SEVERITY-FIRE:DF/VLTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/VLMU/2:0:LIGHT-WSBW:DF/VLMU/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/VLMU/2:0:SUCCESSION:DF/VLMU/3:0,DF:850:20:PP-DF:579:73
ES,SS,1,4,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/SS2/4:0,ES:40:280
ES,SS,1,3,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/SS2/3:0,ES:40:150
LP,PTS,2,3,LIGHT-SEVERITY-FIRE:LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:LP/PTS3/3:0,LP:190:160
ES,SS,1,2,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/SS2/2:0,ES:40:20
LP,SS,2,4,LIGHT-SEVERITY-FIRE:LP/SS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/SS/2:0:SUCCESSION:LP/SS3/4:0,LP:50:290
LP,SS,2,3,LIGHT-SEVERITY-FIRE:LP/SS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/SS/2:0:SUCCESSION:LP/SS3/3:0,LP:50:160
LP,SS,2,2,LIGHT-SEVERITY-FIRE:LP/SS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/SS/2:0:SUCCESSION:LP/SS3/2:0,LP:50:30
PP,VLTS,1,4,LIGHT-SEVERITY-FIRE:PP/VERY-LARGE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU/3:0:SUCCESSION:PP-DF/VLMU/4:0,PP:850:280
PP,VLTS,1,3,LIGHT-SEVERITY-FIRE:PP/VERY-LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU/3:0:SUCCESSION:PP-DF/VLMU/3:0,PP:850:150
PP,VLTS,1,2,LIGHT-SEVERITY-FIRE:PP/VERY-LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU/2:0:SUCCESSION:PP/VLMU/3:0,PP:850:20
ES,POLE,1,4,LIGHT-SEVERITY-FIRE:ES/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/PTS/4:0,ES:135:280
ES,POLE,1,3,LIGHT-SEVERITY-FIRE:ES/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/PTS/3:0,ES:135:150
ES,POLE,1,2,LIGHT-SEVERITY-FIRE:ES/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/PTS/3:0,ES:135:20
ES-LP,SS,2,4,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES-LP/SS3/4:0,ES-LP:50:290
ES-LP,SS,2,3,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES-LP/SS3/3:0,ES-LP:50:160
ES-LP,SS,2,2,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES-LP/SS3/2:0,ES-LP:50:30
CW-MC,SS,1,4,LIGHT-SEVERITY-FIRE:CW/SS/3:0:STAND-REPLACING-FIRE:CW/SS/3:0:MIXED-SEVERITY-FIRE:CW/SS/3:0:SUCCESSION:CW-MC/SS2/4:0,CW-MC:40:280
CW-MC,SS,1,3,LIGHT-SEVERITY-FIRE:CW/SS/3:0:STAND-REPLACING-FIRE:CW/SS/3:0:MIXED-SEVERITY-FIRE:CW/SS/3:0:SUCCESSION:CW-MC/SS2/4:0,CW-MC:40:150
DF-LP,MEDIUM,1,4,LIGHT-SEVERITY-FIRE:DF-LP/MEDIUM/4:0:SEVERE-WSBW:DF-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/MMU/4:0:MIXED-SEVERITY-FIRE:DF/MEDIUM/3:0:SUCCESSION:DF-LP/MMU/4:0:SEVERE-LP-MPB:DF-LP/MMU/3:0:LIGHT-LP-MPB:DF-LP/MMU/3:0,DF-LP:315:280
CW-MC,SS,1,2,LIGHT-SEVERITY-FIRE:CW/SS/2:0:STAND-REPLACING-FIRE:CW/SS/2:0:MIXED-SEVERITY-FIRE:CW/SS/2:0:SUCCESSION:CW-MC/SS2/3:0,CW-MC:40:20
DF-LP,MEDIUM,1,3,LIGHT-SEVERITY-FIRE:DF-LP/MEDIUM/3:0:SEVERE-WSBW:DF-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/MMU/3:0:MIXED-SEVERITY-FIRE:DF/MEDIUM/2:0:SUCCESSION:DF-LP/MMU/3:0:SEVERE-LP-MPB:DF-LP/MTS/2:0:LIGHT-LP-MPB:DF-LP/MTS/2:1,DF-LP:315:150
DF-LP,MEDIUM,1,2,LIGHT-SEVERITY-FIRE:DF-LP/MEDIUM/2:0:SEVERE-WSBW:DF-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/MMU/3:0:MIXED-SEVERITY-FIRE:DF/MEDIUM/2:0:SUCCESSION:DF-LP/MMU/3:0:SEVERE-LP-MPB:DF-LP/MTS/2:0:LIGHT-LP-MPB:DF-LP/MTS/2:0,DF-LP:315:20
PP,SS,1,4,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:PP/SS2/4:0,PP:40:280
LP,MEDIUM,3,3,LIGHT-SEVERITY-FIRE:LP/MTS3/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MEDIUM4/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/3:0,LP:335:170
PP,SS,1,3,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:PP/SS2/3:0,PP:40:150
PP,SS,1,2,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:PP/SS2/2:0,PP:40:20
ALPINE-GRASSES,CLOSED-HERB,1,1,LIGHT-SEVERITY-FIRE:ALPINE-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:ALPINE-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:ALPINE-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ALPINE-GRASSES/CLOSED-HERB/1:0,NF:98:99:ALPINE-GRASSES:207:38:NS:276:186
DF-PP-LP,MMU,3,3,LIGHT-SEVERITY-FIRE:DF-PP-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/LARGE/2:0:DF-BEETLE:DF-PP-LP/LMU/2:0:SUCCESSION:DF-PP-LP/LMU/3:0:SEVERE-LP-MPB:PP-DF/MEDIUM/2:0:LIGHT-LP-MPB:PP-DF/MEDIUM/3:0,DF-PP-PP:338:132:DF-PP-LP:475:170
PP,MMU,1,4,LIGHT-SEVERITY-FIRE:PP/MTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:PP-MPB:PP/MEDIUM/2:0:SUCCESSION:PP-DF/MMU/4:0,PP:455:280
PP,MMU,1,3,LIGHT-SEVERITY-FIRE:PP/MTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:PP-MPB:PP/MEDIUM/2:0:SUCCESSION:PP-DF/MMU/4:0,PP:455:150
CW,SS,1,4,LIGHT-SEVERITY-FIRE:CW/SS/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:CW/SS/3:0:SUCCESSION:CW/SS2/4:0,CW:40:280
